config,n,width,height,frames,media_ms,mediana_ms,min_ms,max_ms,sd_ms,fps
default,1000,1280,720,12,241.0552,237.9445,233.6350,257.2680,7.7215,4.15
default,1000,1280,720,12,234.1041,234.0485,232.9450,235.3010,0.7035,4.27
default,1000,1280,720,12,236.0552,236.2375,234.0460,238.4360,1.4389,4.24
default,1000,1280,720,12,236.0459,235.9685,234.7460,238.7420,1.0480,4.24
default,1000,1280,720,12,237.8483,238.0895,236.7990,238.5530,0.6462,4.20
default,1000,1280,720,12,238.4348,237.2915,235.3650,250.2070,3.9450,4.19
default,1000,1280,720,12,236.0043,236.0730,234.7480,237.8040,0.8541,4.24
default,1000,1280,720,12,237.5868,236.8840,235.3620,241.3320,2.0510,4.21
default,1000,1280,720,12,236.4521,236.3370,235.2190,237.8620,0.8443,4.23
default,1000,1280,720,12,237.8230,238.1925,236.7260,238.9340,0.8624,4.20
voronoi,1000,1280,720,12,190.3069,190.0535,189.6640,193.0520,0.9157,5.25
voronoi,1000,1280,720,12,208.2650,207.9370,206.8300,209.6390,0.9614,4.80
voronoi,1000,1280,720,12,209.4277,209.2800,208.0450,211.7670,1.1820,4.77
voronoi,1000,1280,720,12,190.5801,190.2375,189.3530,192.8910,0.8746,5.25
voronoi,1000,1280,720,12,194.3218,193.0680,192.1530,210.2250,5.0269,5.15
voronoi,1000,1280,720,12,190.5283,190.4115,188.8590,191.9010,0.9956,5.25
voronoi,1000,1280,720,12,190.7032,190.6330,189.9080,191.7610,0.6047,5.24
voronoi,1000,1280,720,12,191.9371,192.0055,190.6560,193.2070,0.9005,5.21
voronoi,1000,1280,720,12,190.5744,190.3920,188.8520,191.8170,0.8477,5.25
voronoi,1000,1280,720,12,212.6364,211.5390,209.4200,227.1780,4.6693,4.70
raster,1000,1280,720,12,4.6048,4.6030,4.4670,4.7310,0.0728,217.17
raster,1000,1280,720,12,4.5410,4.5585,4.4280,4.6410,0.0664,220.22
raster,1000,1280,720,12,4.5348,4.5475,4.4380,4.6160,0.0545,220.52
raster,1000,1280,720,12,4.4975,4.4920,4.3910,4.6320,0.0753,222.35
raster,1000,1280,720,12,4.5191,4.5140,4.4290,4.6000,0.0439,221.28
raster,1000,1280,720,12,4.5499,4.5620,4.3790,4.6590,0.0935,219.78
raster,1000,1280,720,12,4.6230,4.5740,4.4360,4.9690,0.1593,216.31
raster,1000,1280,720,12,4.5716,4.5885,4.3780,4.6540,0.0775,218.74
raster,1000,1280,720,12,4.6032,4.5750,4.4060,4.9530,0.1356,217.24
raster,1000,1280,720,12,4.5815,4.6085,4.4930,4.6690,0.0588,218.27
physics,1000,1280,720,12,240.0021,239.9745,238.0650,242.4180,1.1526,4.17
physics,1000,1280,720,12,240.6063,240.2225,239.5480,242.8560,1.0372,4.16
physics,1000,1280,720,12,244.7418,242.9145,239.9370,259.9250,5.6094,4.09
physics,1000,1280,720,12,239.8548,239.7440,237.9560,242.0670,1.1756,4.17
physics,1000,1280,720,12,240.7759,239.8300,238.4810,250.8540,3.3502,4.15
physics,1000,1280,720,12,247.2379,246.1110,241.0190,259.6450,4.8075,4.04
physics,1000,1280,720,12,239.4212,239.3835,237.5710,240.9330,1.0459,4.18
physics,1000,1280,720,12,239.8742,239.8915,238.6610,241.2440,0.8014,4.17
physics,1000,1280,720,12,241.1592,240.7955,239.5820,246.5970,1.8519,4.15
physics,1000,1280,720,12,241.4646,240.9325,239.0480,244.6940,1.6814,4.14
voronoi+physics,1000,1280,720,12,212.5355,210.3965,208.6140,225.0880,5.3988,4.71
voronoi+physics,1000,1280,720,12,210.5409,210.5055,209.1440,211.8240,0.6938,4.75
voronoi+physics,1000,1280,720,12,192.6077,192.8190,191.5960,193.1430,0.5099,5.19
voronoi+physics,1000,1280,720,12,192.3491,192.3745,190.9400,193.6930,0.8611,5.20
voronoi+physics,1000,1280,720,12,192.6696,192.1950,190.9310,195.6890,1.2847,5.19
voronoi+physics,1000,1280,720,12,193.9935,193.7360,191.1950,198.8550,2.0679,5.15
voronoi+physics,1000,1280,720,12,192.6212,192.4380,191.5250,194.3610,0.8352,5.19
voronoi+physics,1000,1280,720,12,209.5318,209.7895,208.3830,210.6950,0.7942,4.77
voronoi+physics,1000,1280,720,12,193.9943,193.3910,192.5590,197.7800,1.5591,5.15
voronoi+physics,1000,1280,720,12,192.1134,191.6190,190.8090,196.2320,1.6699,5.21
cannons8,1000,1280,720,12,431.6131,431.3245,429.8160,433.1110,1.1707,2.32
cannons8,1000,1280,720,12,431.5298,430.9135,429.8850,438.7380,2.4337,2.32
cannons8,1000,1280,720,12,434.5889,433.2465,431.6660,451.0440,5.2413,2.30
cannons8,1000,1280,720,12,433.5395,433.4515,431.0590,438.6970,2.3656,2.31
cannons8,1000,1280,720,12,437.3205,435.6100,432.1240,453.5100,5.8918,2.29
cannons8,1000,1280,720,12,435.9842,433.1380,431.4640,453.5420,7.2154,2.29
cannons8,1000,1280,720,12,433.8824,433.4005,431.6490,437.8060,2.0720,2.30
cannons8,1000,1280,720,12,434.4677,433.1550,430.5140,445.9370,4.2072,2.30
cannons8,1000,1280,720,12,434.7643,433.2575,432.5130,444.4070,3.3894,2.30
cannons8,1000,1280,720,12,431.7289,431.6930,430.5530,434.2160,1.0256,2.32
cannons8+trail16,1000,1280,720,12,762.9578,758.5340,755.7080,780.6280,8.7766,1.31
cannons8+trail16,1000,1280,720,12,759.6878,758.7480,756.7470,771.5710,3.9179,1.32
cannons8+trail16,1000,1280,720,12,761.9567,760.3105,756.8800,774.3140,4.9272,1.31
cannons8+trail16,1000,1280,720,12,762.5486,761.8135,758.7330,774.9520,4.3237,1.31
cannons8+trail16,1000,1280,720,12,762.5164,760.9795,755.5400,781.2280,6.5180,1.31
cannons8+trail16,1000,1280,720,12,774.8168,771.4390,761.7870,787.2300,7.9348,1.29
cannons8+trail16,1000,1280,720,12,776.6401,772.8135,764.4640,796.2380,9.8942,1.29
cannons8+trail16,1000,1280,720,12,763.1178,761.5485,758.1520,780.1170,5.8638,1.31
cannons8+trail16,1000,1280,720,12,764.9157,762.0925,760.5710,783.9290,6.6254,1.31
cannons8+trail16,1000,1280,720,12,761.2456,760.8640,757.2310,769.4410,3.1441,1.31
cannons8+trail32,1000,1280,720,12,1279.5574,1278.1805,1271.5410,1288.5730,5.6286,0.78
cannons8+trail32,1000,1280,720,12,1271.9460,1271.7705,1267.7600,1277.6700,3.0600,0.79
cannons8+trail32,1000,1280,720,12,1286.8229,1280.6705,1270.1070,1310.3210,13.6947,0.78
cannons8+trail32,1000,1280,720,12,1279.8717,1277.1800,1273.2790,1298.0460,7.4395,0.78
cannons8+trail32,1000,1280,720,12,1276.7332,1275.6595,1273.7880,1283.6040,3.2098,0.78
cannons8+trail32,1000,1280,720,12,1277.2057,1275.9630,1273.4550,1285.1400,3.7184,0.78
cannons8+trail32,1000,1280,720,12,1276.9177,1275.0825,1273.1520,1284.8890,3.9898,0.78
cannons8+trail32,1000,1280,720,12,1285.4909,1283.9885,1278.0830,1298.8200,6.5088,0.78
cannons8+trail32,1000,1280,720,12,1277.0800,1276.6560,1270.6050,1285.3110,4.9804,0.78
cannons8+trail32,1000,1280,720,12,1275.8157,1273.7670,1271.0510,1289.5580,5.5818,0.78
cannons32+trail32,1000,1280,720,12,2784.2314,2790.7635,2751.6580,2822.4210,22.1153,0.36
cannons32+trail32,1000,1280,720,12,2779.7778,2776.9560,2756.0790,2810.9660,17.6135,0.36
cannons32+trail32,1000,1280,720,12,2781.5022,2780.1340,2752.6840,2825.2990,20.6421,0.36
cannons32+trail32,1000,1280,720,12,2782.8417,2780.5565,2763.6740,2806.3150,14.6911,0.36
cannons32+trail32,1000,1280,720,12,2780.1610,2783.3250,2757.7140,2801.6310,13.8882,0.36
cannons32+trail32,1000,1280,720,12,2778.6928,2775.7910,2756.9460,2814.9780,17.7605,0.36
cannons32+trail32,1000,1280,720,12,2774.5247,2774.2920,2752.8560,2794.4150,13.8806,0.36
cannons32+trail32,1000,1280,720,12,2776.2966,2775.6970,2753.6460,2798.4190,14.7535,0.36
cannons32+trail32,1000,1280,720,12,2786.3633,2783.2240,2760.1000,2821.5610,17.5200,0.36
cannons32+trail32,1000,1280,720,12,2778.8498,2776.1715,2758.4410,2808.7760,15.4581,0.36
