n,width,height,frames,media_ms,mediana_ms,min_ms,max_ms,sd_ms,fps
6000,1280,720,10,1237.9895,1237.5605,1230.9670,1251.0780,5.8620,0.81
6000,1280,720,10,1233.5663,1233.5900,1231.0030,1235.6480,1.6302,0.81
6000,1280,720,10,1232.9850,1232.9875,1231.2200,1234.1190,0.9008,0.81
8000,1280,720,10,1626.9811,1626.3345,1624.3730,1630.4740,2.1758,0.61
8000,1280,720,10,1635.1003,1626.3855,1622.2470,1687.2070,20.6207,0.61
8000,1280,720,10,1626.3821,1626.3935,1623.3610,1629.1130,1.7719,0.61
12000,1280,720,10,2414.0864,2414.4405,2407.9710,2421.1170,4.2699,0.41
12000,1280,720,10,2415.8760,2414.5185,2410.0520,2428.4700,5.9671,0.41
12000,1280,720,10,2414.8809,2413.3030,2408.5270,2425.9410,5.7814,0.41
16000,1280,720,6,3196.3733,3189.8830,3184.5150,3221.2670,14.6291,0.31
16000,1280,720,6,3189.1323,3189.2185,3186.0820,3192.4300,2.6500,0.31
16000,1280,720,6,3187.3210,3187.0950,3184.8240,3190.1240,1.9224,0.31
24000,1280,720,6,4743.0998,4740.9205,4737.2270,4754.4690,6.1606,0.21
24000,1280,720,6,4740.7833,4740.5060,4739.3870,4743.3010,1.4747,0.21
24000,1280,720,6,4739.0673,4738.0160,4734.6990,4746.2200,4.3416,0.21
32000,1280,720,6,6289.2193,6288.4470,6287.2950,6293.9660,2.4307,0.16
32000,1280,720,6,6293.8787,6291.5965,6288.3080,6310.1720,8.1922,0.16
32000,1280,720,6,6288.8300,6289.0640,6287.2540,6290.1520,1.2330,0.16
48000,1280,720,6,9383.0002,9372.1260,9369.3050,9426.9660,22.5371,0.11
48000,1280,720,6,9378.5177,9375.1255,9370.9710,9390.6600,8.4473,0.11
48000,1280,720,6,9429.3577,9395.0235,9378.2930,9547.7030,69.4531,0.11
64000,1280,720,6,12710.7480,12707.8330,12687.1660,12751.9720,23.9203,0.08
64000,1280,720,6,12808.7288,12739.9455,12714.6040,13091.9270,147.7623,0.08
64000,1280,720,6,12855.4907,12840.3725,12813.0870,12946.6680,48.4159,0.08
100000,1280,720,6,19965.9683,19967.1935,19806.7140,20112.6000,125.7334,0.05
100000,1280,720,6,19826.6982,19820.8990,19786.1600,19887.5990,34.2168,0.05
100000,1280,720,6,19812.9900,19803.3705,19785.7190,19849.2020,26.3333,0.05
