n,width,height,frames,media_ms,mediana_ms,min_ms,max_ms,sd_ms,fps
32,1280,720,50,20.2981,19.9395,19.2740,25.6370,1.2590,49.27
32,1280,720,50,20.3250,20.1025,19.3080,28.5780,1.3355,49.20
32,1280,720,50,20.1099,20.0445,19.3490,21.4370,0.4228,49.73
32,1280,720,50,20.1811,20.1410,19.4130,21.5920,0.4773,49.55
32,1280,720,50,19.9348,19.8860,19.1920,21.1340,0.4770,50.16
32,1280,720,50,19.8545,19.7730,19.2280,21.4320,0.4784,50.37
32,1280,720,50,19.4653,19.4300,19.0600,20.2460,0.2486,51.37
32,1280,720,50,20.0495,19.7660,19.2560,28.0260,1.2923,49.88
32,1280,720,50,20.0558,19.9410,19.2880,21.4190,0.4994,49.86
32,1280,720,50,20.4764,20.2915,19.9640,22.2250,0.4723,48.84
64,1280,720,36,27.7005,27.4885,26.7830,29.0690,0.6062,36.10
64,1280,720,36,27.3410,27.3185,26.6090,28.5250,0.4354,36.58
64,1280,720,36,28.0750,27.7895,26.8920,32.4970,1.1045,35.62
64,1280,720,36,27.3724,27.3845,26.8060,28.2230,0.3987,36.53
64,1280,720,36,27.9061,27.7045,26.5110,34.1850,1.2258,35.83
64,1280,720,36,27.4825,27.4575,26.7130,28.5350,0.4353,36.39
64,1280,720,36,27.7782,27.7485,27.0660,28.6300,0.3620,36.00
64,1280,720,36,27.7575,27.6570,26.7270,29.0390,0.4605,36.03
64,1280,720,36,28.0552,27.7205,27.1620,39.6670,2.0245,35.64
64,1280,720,36,28.0750,27.8510,27.2140,32.1200,0.7978,35.62
96,1280,720,28,35.8197,35.5555,34.6980,38.6290,0.9776,27.92
96,1280,720,28,45.1849,37.1990,35.0180,224.5450,35.3955,22.13
96,1280,720,28,35.9725,35.7310,34.9620,40.8500,1.1884,27.80
96,1280,720,28,37.0501,36.7790,34.7930,45.5070,2.0215,26.99
96,1280,720,28,35.6947,35.5965,34.9400,37.3670,0.5457,28.02
96,1280,720,28,35.5145,35.5060,35.1050,36.4250,0.3293,28.16
96,1280,720,28,35.3137,35.2050,34.3280,36.1960,0.4780,28.32
96,1280,720,28,35.3533,35.2700,34.7080,36.2170,0.3796,28.29
96,1280,720,28,35.1356,35.0975,34.3070,36.7280,0.4639,28.46
96,1280,720,28,34.9659,34.9200,34.5100,35.7060,0.2940,28.60
128,1280,720,23,44.1624,44.1090,43.3800,45.3200,0.4847,22.64
128,1280,720,23,44.9596,44.2030,43.7380,60.8780,3.4827,22.24
128,1280,720,23,44.5238,44.4500,43.6730,45.3270,0.3834,22.46
128,1280,720,23,44.6284,44.5470,44.0990,45.3720,0.4008,22.41
128,1280,720,23,45.2170,45.3240,44.0780,46.8870,0.6984,22.12
128,1280,720,23,45.7532,44.8250,44.1510,61.3550,3.4970,21.86
128,1280,720,23,44.7126,44.6560,43.8310,45.6160,0.4721,22.37
128,1280,720,23,44.7288,44.7560,43.8630,45.6280,0.5549,22.36
128,1280,720,23,44.9415,44.9050,44.2820,45.6210,0.4209,22.25
128,1280,720,23,44.6912,44.5820,44.0510,45.4550,0.3753,22.38
160,1280,720,19,53.4577,52.8010,52.0230,66.5330,3.1816,18.71
160,1280,720,19,54.0453,53.6080,52.5430,64.2660,2.5530,18.50
160,1280,720,19,52.7298,52.7040,51.8830,53.5520,0.3954,18.96
160,1280,720,19,52.9401,52.9570,52.2060,53.7940,0.4904,18.89
160,1280,720,19,52.8195,52.8690,52.1760,53.2020,0.2685,18.93
160,1280,720,19,52.8485,52.8180,52.1150,53.8040,0.4181,18.92
160,1280,720,19,52.8724,52.9260,51.9460,53.5480,0.3456,18.91
160,1280,720,19,54.3162,54.0270,52.7310,62.2920,2.0095,18.41
160,1280,720,19,55.5571,53.4130,52.8460,85.8080,7.4709,18.00
160,1280,720,19,53.9383,54.0040,52.9990,54.5670,0.4440,18.54
192,1280,720,16,62.0844,62.2265,60.8190,64.1730,0.8013,16.11
192,1280,720,16,61.8555,61.8365,60.9530,63.0200,0.5704,16.17
192,1280,720,16,61.7736,61.7650,61.1070,62.4130,0.3488,16.19
192,1280,720,16,61.2781,61.3285,60.4220,62.1650,0.4806,16.32
192,1280,720,16,62.9581,61.7510,60.9480,77.4160,4.1124,15.88
192,1280,720,16,61.1722,61.1430,60.5670,61.7340,0.3991,16.35
192,1280,720,16,61.4131,61.2535,60.9780,61.9510,0.3293,16.28
192,1280,720,16,61.6585,61.6695,61.0970,62.2970,0.3670,16.22
192,1280,720,16,61.5765,61.4790,61.0070,62.5700,0.4374,16.24
192,1280,720,16,61.5569,61.6775,60.4420,62.3490,0.5328,16.25
256,1280,720,13,77.5987,77.3050,75.8910,79.1460,1.0226,12.89
256,1280,720,13,77.6038,77.6640,76.8690,78.2390,0.4558,12.89
256,1280,720,13,76.8707,76.8030,76.1700,78.2190,0.5402,13.01
256,1280,720,13,76.9275,76.9660,76.2520,77.7470,0.3665,13.00
256,1280,720,13,77.4593,77.5760,76.6060,78.4740,0.5638,12.91
256,1280,720,13,78.3700,77.0460,75.9760,94.6020,4.9166,12.76
256,1280,720,13,77.7040,77.6280,76.9610,78.3590,0.4487,12.87
256,1280,720,13,77.6852,77.7730,76.6570,78.3470,0.5202,12.87
256,1280,720,13,77.6295,77.6350,77.0880,78.1450,0.2954,12.88
